pb190,pe021,pl016,rl060,ph050,pb030,rl020,rb240,ph010,pd050,pl040b,pl040a,py080g,pl090,m_k,py020g,pd020,ph060,rl050,pl100,pl145,rb230,ph020,rl010,pl141,pd060,ap,pl060,rb220,hb030,pl051b,pl051a,py130g,py110g,py021g,pe041,py035g,py100g,pd030,rl040,pl111b,ph070,pl111a,pl073,pl150,pl271,pl074,pd070,pl075,py090n,ph030,pl032,pl076,pb205,py050n,py010n,pb200,py090g,sl,py050g,py030g,py010g,pe010,rb090,rb050,pl088,pl089,pl200,rl030,pd080,pl085,ph040,pl086,pl087,pl080,py120n,py140g,objectid,age,py120g
5,,3,,1,1000550003,,,3,2,3,,0,12,1,0,2,1,,,,1000550002,1,,,2,10,,,10005500,52,,0,0,0,450,0,0,2,,47,1,,0,,12,0,2,0,0,3,8,0,2,0,0,3,0,1,0,0,0,2,2,61.24802,0,0,32,,1,0,1,0,0,0,0,0,50,52,0
1,,1,,1,1000550004,,,,2,,,0,12,1,0,2,1,,,,1000550003,1,,,2,10,,,10005500,,,0,0,0,344,0,0,2,,,1,,0,,0,0,2,0,0,2,8,0,2,0,0,3,0,1,0,0,0,2,1,61.24802,0,0,,,1,0,1,0,0,0,0,0,51,19,0
4,,3,,,1000560001,,,4,3,3,,0,0,1,0,1,,,,,,1,,,3,10,,,10005600,75,,0,593.36,0,450,0,5317.8,1,,,,,0,,,0,1,0,0,2,3,0,2,0,0,3,0,1,0,0,0,2,2,91.8766,0,0,28,,3,12,2,0,0,0,0,0,52,79,0
5,,3,,,1000590001,,,3,2,1,,0,0,1,0,1,2,,,,,1,,,2,10,,,10005900,,,0,0,0,800,0,2572.44,1,,68,,,0,,0,0,1,0,0,3,3,0,2,0,0,3,0,1,0,0,0,2,1,179.70468,0,0,30,,1,12,2,0,0,0,0,0,53,72,0
5,,3,,,1000600001,,,3,1,3,,0,0,1,0,1,2,,,,,1,,,1,10,,,10006000,11,,0,0,0,700,0,9853.2,1,,21,,,0,,0,0,1,0,0,3,3,0,2,0,0,3,0,1,0,0,0,2,2,94.2846,0,0,45,,1,12,2,0,0,0,0,0,54,71,0
5,,,,,1000610001,,,2,1,,3,0,0,1,0,1,2,,,1,,2,,21,1,10,40,,10006100,,43,0,0,0,700,0,0,1,,,,60,12,2,0,0,1,0,0,3,1,0,2,0,16735.24,3,0,1,0,482.1,27237.07,2,2,123.33645,0,0,36,,1,0,2,0,0,0,0,0,55,61,0
5,,,,,1000620001,,,2,1,,3,0,0,1,0,1,2,,,1,,2,,21,1,10,40,,10006200,,24,0,0,0,700,0,5689.38,1,,,,91,12,1,0,0,1,0,0,3,1,0,2,1868.65,48024.06,3,0,1,1967,388,66552.52,2,2,66.59089,0,0,25,,1,0,2,0,0,0,0,0,56,47,0
1,,,,,1000650001,,,2,1,,3,0,0,1,0,1,2,,,1,,2,,21,3,10,40,,10006500,,24,0,0,0,450,1196.51,0,1,,,,81,12,2,0,0,1,0,0,3,1,0,2,0,24129.45,3,0,1,0,705.94,39883.47,2,2,197.60538,0,0,8,,1,0,2,0,0,0,224.09,0,57,34,263.64
4,,3,,,1000660001,,,3,3,3,,0,0,1,0,3,,,,,,1,,,3,10,,,10006600,54,,0,680.76,0,700,0,10745.93,1,,,,,0,,,0,3,0,0,3,3,0,2,0,0,3,0,1,0,0,0,2,2,88.45815,0,0,33,,3,12,2,0,0,0,0,0,58,81,0
2,,,,,1000690001,,1000690002,2,1,,3,0,0,1,0,1,,,1,1,,2,,21,1,10,45,,10006900,,12,0,0,0,700,1000,0,1,,,,46,12,1,0,0,1,0,0,3,1,0,1,0,50768.36,1,0,1,0,1487.11,83939.72,2,1,200.29919,0,0,11,,1,0,,0,0,0,0,0,59,35,0
